deal_id,first_name,last_name,email,company_name,country,lead_source,deal_stage,company_size,arr_value,last_activity_days_ago
DL-42850,Kimberly,Hall,kimberly.hall@robinson-lee.com,Robinson-Lee,UK,G2,Technical Validation,1000+,58060.92,8
DL-52992,Daniel,Hall,daniel.hall@harveyplc.com,Harvey PLC,UK,Outbound SDR,Technical Validation,201-1000,107210.64,17
DL-78386,Ryan,Cox,ryan.cox@zimmerman-graham.com,Zimmerman-Graham,UK,Organic,Demo Scheduled,201-1000,7288.26,5
DL-74799,Robert,Soto,robert.soto@higginsgroup.com, Higgins Group ,UK,Organic,Demo Scheduled,51-200,50058.77,1
DL-30706,Elizabeth,Nolan,elizabeth.nolan@santana-byrd.com,Santana-Byrd,UK,Direct,Closed Lost,1-50,27921.66,8
DL-72422,joseph,martinez,joseph.martinez@fox-reese.com,Fox-Reese,GBR,Partner,Closed Lost,51-200,108953.11,10
DL-84000,Carla,Smith,carla.smith@sanchez-martinez.com,Sanchez-Martinez,GBR,G2,Discovery,1000+,102042.1,3
DL-88172,Michelle,Hernandez,michelle.hernandez@connergroup.com,Conner Group,US,G2,Closed Won,1000+,40234.6,9
DL-97900,Jonathan,Fletcher,jonathan.fletcher@meyerplc.com,Meyer PLC,FRA,Events,Demo Scheduled,51-200,43373.69,2
DL-15683,Shane,Cox,shane.cox@rodriguezgordonanddougherty.com,"Rodriguez, Gordon and Dougherty",France,Events,Closed Won,1000+,102551.32,6
DL-82910,William,Moore,william.moore@walker-rodriguez.com,Walker-Rodriguez,USA,Direct,Legal Review,51-200,105865.81,18
DL-63271,Angela,Black,angela.black@millerltd.com,Miller Ltd,France,Partner,Technical Validation,51-200,104589.05,10
DL-85392,Jessica,Munoz,jessica.munoz@davisltd.com,Davis Ltd,United States,Organic,Closed Lost,1-50,100979.74,30
DL-98259, Donna,Gomez,donna.gomez@owens-daniel.com,Owens-Daniel,GBR,Outbound SDR,Closed Lost,201-1000,118446.04,8
DL-81364,Sean,Young,sean.young@garcia-jennings.com,Garcia-Jennings,United States,Organic,Legal Review,51-200,140808.27,46
DL-55309,gregory,estes,gregory.estes@johnson-carlson.com,Johnson-Carlson,France,Referral (Old),Closed Lost,1-50,27000.42,24
DL-47930,Christine,Hensley,christine73@gmail.com,"Lee, Jones and Stanley",UK,Partner,Closed Lost,1000+,25716.38,3
DL-70637,John,Lee,john.lee@taylor-white.com,Taylor-White,GBR,G2,Technical Validation,201-1000,98014.85,8
DL-83048,karen,perez,karen.perez@ramseywhitneyandcoffey.com,"Ramsey, Whitney and Coffey",FRA,Organic,Demo Scheduled,1-50,68950.59,8
DL-28726,Nancy,Edwards,nancy.edwards@porterwilkersonandday.com,"Porter, Wilkerson and Day",US,Events,Legal Review,51-200,43433.21,29
DL-92960,William,Leon,william.leon@jacksonmillerandrobertson.com,"Jackson, Miller and Robertson",FRA,Organic,Technical Validation,1-50,129371.3,6
DL-26011,Rachel,Newman,rachel73@gmail.com,Sanders and Sons,USA,Partner,Closed Won,1000+,133942.69,3
DL-85456,jamie,fisher,jamie.fisher@shahsmithandgilmore.com,"  Shah, Smith and Gilmore",US,Organic,Technical Validation,1000+,26107.62,11
DL-25012,steven,scott,steven.scott@jackson-lawson.com,Jackson-Lawson,Great Britain,Organic,Closed Lost,201-1000,99139.72,2
DL-36365,monique,henderson,monique.henderson@hickmanltd.com,Hickman Ltd,GBR,Partner,Technical Validation,201-1000,27873.29,26
DL-46347,Julia,Wells,julia.wells@walton-larsen.com,Walton-Larsen,USA,G2,Closed Lost,51-200,76822.65,1
DL-62531,Holly,Bender,holly.bender@fernandezkimandgeorge.com,"Fernandez, Kim and George  ",US,Partner,Legal Review,201-1000,142411.9,24
DL-24663,Dana,Green,dana.green@ramosthorntonandhoffman.com,"Ramos, Thornton and Hoffman",United States,Organic,Legal Review,1000+,141513.24,4
DL-10282,Richard,Olson,richard.olson@barrera-martin.com,Barrera-Martin,GBR,Referral (Old),Technical Validation,1-50,109364.37,5
DL-50189,Alyssa,Coleman,alyssa.coleman@piercebellandchavez.com,"Pierce, Bell and Chavez",Great Britain,Partner,Closed Won,1-50,93304.26,16
