user_id,workspace_id,email,role,seat_type
USR-94820,WS-6305,ymitchell@example.net,Admin,"Pro (8,000 credits)"
USR-55482,WS-6305,shepardmichael@example.net,Member,Free (500 credits)
USR-25347,WS-6305,xbrown@example.com,Member,Free (500 credits)
USR-26952,WS-6305,raymondrangel@example.com,Member,"Pro (8,000 credits)"
USR-20561,WS-6305,shanedunn@example.org,Member,Free (500 credits)
USR-66429,WS-6305,jasmine56@example.org,Member,Free (500 credits)
USR-29781,WS-6305,thompsonjesse@example.org,Member,"Pro (8,000 credits)"
USR-11581,WS-6305,lguerra@example.com,Builder,Free (500 credits)
USR-46953,WS-6305,thomasamanda@example.net,Member,Free (500 credits)
USR-84231,WS-6305,stephanie89@example.net,Member,"Pro (8,000 credits)"
USR-98630,WS-6305,bryantmonica@example.net,Member,"Max (40,000 credits)"
USR-83304,WS-6305,zsanders@example.org,Member,Free (500 credits)
USR-73114,WS-6305,ebrown@example.org,Member,Free (500 credits)
USR-67753,WS-6305,danielburke@example.org,Builder,"Pro (8,000 credits)"
USR-10030,WS-6305,amandarush@example.net,Builder,"Max (40,000 credits)"
USR-13342,WS-6305,sawyerchristina@example.org,Builder,Free (500 credits)
USR-93153,WS-6305,stephanie95@example.com,Builder,"Pro (8,000 credits)"
USR-26101,WS-6305,sweeneyvictoria@example.com,Member,Free (500 credits)
USR-72966,WS-6305,jcollins@example.org,Builder,"Max (40,000 credits)"
USR-54909,WS-6305,timothy28@example.org,Member,"Pro (8,000 credits)"
USR-36897,WS-6305,dwayne80@example.net,Member,"Pro (8,000 credits)"
USR-49071,WS-6305,hortonjose@example.com,Member,"Max (40,000 credits)"
USR-31894,WS-6305,kelsey88@example.net,Member,"Pro (8,000 credits)"
USR-53209,WS-6305,christiekramer@example.org,Member,Free (500 credits)
USR-41377,WS-2186,osingh@example.org,Admin,"Pro (8,000 credits)"
USR-77847,WS-2186,bkelly@example.org,Builder,Free (500 credits)
USR-46623,WS-2186,sgreen@example.net,Member,Free (500 credits)
USR-55125,WS-2186,ustokes@example.com,Member,Free (500 credits)
USR-57793,WS-2186,robinsonjeremy@example.org,Builder,Free (500 credits)
USR-54267,WS-2186,timothygalloway@example.net,Builder,Free (500 credits)
USR-10250,WS-2186,wblankenship@example.net,Builder,"Max (40,000 credits)"
USR-21112,WS-2186,browningkimberly@example.org,Member,Free (500 credits)
USR-72656,WS-2186,ryanfields@example.org,Member,Free (500 credits)
USR-61883,WS-2186,fmorales@example.net,Member,Free (500 credits)
USR-30821,WS-2186,victoriajohnson@example.net,Member,"Max (40,000 credits)"
USR-70994,WS-2186,cherylcarlson@example.com,Member,"Pro (8,000 credits)"
USR-96149,WS-2186,eric82@example.org,Builder,Free (500 credits)
USR-11866,WS-2186,rosesarah@example.com,Member,Free (500 credits)
USR-35533,WS-2186,anthonylewis@example.net,Member,Free (500 credits)
USR-41527,WS-2186,jordan62@example.org,Builder,"Max (40,000 credits)"
USR-56371,WS-2186,hbates@example.com,Member,Free (500 credits)
USR-75752,WS-2186,amandamills@example.org,Member,Free (500 credits)
USR-67688,WS-2186,charlotteparsons@example.org,Member,"Max (40,000 credits)"
USR-32589,WS-2186,thomashardy@example.net,Member,"Pro (8,000 credits)"
USR-18094,WS-2186,faith88@example.com,Member,Free (500 credits)
USR-23907,WS-2186,wrightjoshua@example.org,Builder,"Pro (8,000 credits)"
USR-76547,WS-2186,whoffman@example.org,Member,"Pro (8,000 credits)"
USR-68097,WS-2186,cheyenne89@example.net,Member,Free (500 credits)
USR-36136,WS-2186,shaun87@example.net,Member,"Max (40,000 credits)"
USR-42460,WS-2186,sandra37@example.org,Member,"Max (40,000 credits)"
USR-64609,WS-2186,longleslie@example.net,Member,"Pro (8,000 credits)"
USR-41541,WS-2186,qjones@example.com,Member,"Pro (8,000 credits)"
USR-26036,WS-2186,sheilaschneider@example.com,Member,Free (500 credits)
USR-28740,WS-2186,nicole73@example.net,Builder,Free (500 credits)
USR-22337,WS-4517,kdyer@example.net,Admin,Free (500 credits)
USR-39322,WS-4517,jasminemcknight@example.com,Member,Free (500 credits)
USR-54448,WS-4517,ugonzalez@example.org,Member,"Pro (8,000 credits)"
USR-57966,WS-4517,morganstephen@example.net,Member,"Max (40,000 credits)"
USR-12370,WS-4517,nrivera@example.com,Builder,Free (500 credits)
USR-77143,WS-4517,rodriguezsamantha@example.org,Member,Free (500 credits)
USR-23733,WS-4517,bakerbenjamin@example.org,Member,"Max (40,000 credits)"
USR-45447,WS-4517,loriatkinson@example.net,Member,Free (500 credits)
USR-43896,WS-4517,ghernandez@example.net,Member,Free (500 credits)
USR-74829,WS-4517,christopher02@example.com,Member,"Max (40,000 credits)"
USR-19491,WS-4517,shawna14@example.org,Builder,Free (500 credits)
